2022-03-04 20:19:47,047 WARN org.springframework.web.servlet.DispatcherServlet [http-nio-9081-exec-8] No mapping for GET /api/v1/universidad/swagger
"2022-03-04 20:20:16,760 WARN org.springframework.web.servlet.DispatcherServlet [http-nio-9081-exec-10] No mapping for GET /api/v1/universidad/swagger-ui.thml
"2022-03-04 20:24:27,248 INFO org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [SpringApplicationShutdownHook] Closing JPA EntityManagerFactory for persistence unit 'default'
"2022-03-04 20:24:27,250 INFO com.zaxxer.hikari.HikariDataSource [SpringApplicationShutdownHook] HikariPool-1 - Shutdown initiated...
"2022-03-04 20:24:27,254 INFO com.zaxxer.hikari.HikariDataSource [SpringApplicationShutdownHook] HikariPool-1 - Shutdown completed.
"2022-03-04 20:24:32,802 INFO org.hibernate.validator.internal.util.Version [background-preinit] HV000001: Hibernate Validator 6.2.0.Final
"2022-03-04 20:24:32,802 INFO org.springframework.boot.StartupInfoLogger [main] Starting UbackendApplication using Java 11.0.11 on DESKTOP-4GGFN2F with PID 58940 (C:\Users\Usernow\Desktop\SpringBootSimplesPasos\Uback-Test\target\classes started by Usernow in C:\Users\Usernow\Desktop\SpringBootSimplesPasos\Uback-Test)
"2022-03-04 20:24:32,804 INFO org.springframework.boot.SpringApplication [main] No active profile set, falling back to default profiles: default
"2022-03-04 20:24:33,296 INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
"2022-03-04 20:24:33,338 INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 37 ms. Found 4 JPA repository interfaces.
"2022-03-04 20:24:33,607 INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port(s): 9081 (http)
"2022-03-04 20:24:33,611 INFO org.apache.juli.logging.DirectJDKLog [main] Initializing ProtocolHandler ["http-nio-9081"]
"2022-03-04 20:24:33,611 INFO org.apache.juli.logging.DirectJDKLog [main] Starting service [Tomcat]
"2022-03-04 20:24:33,611 INFO org.apache.juli.logging.DirectJDKLog [main] Starting Servlet engine: [Apache Tomcat/9.0.54]
