2022-03-04 20:41:24,275 INFO org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
"2022-03-04 20:41:24,298 INFO org.hibernate.Version [main] HHH000412: Hibernate ORM core version 5.6.1.Final
"2022-03-04 20:41:24,358 INFO org.hibernate.annotations.common.reflection.java.JavaReflectionManager [main] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
"2022-03-04 20:41:24,403 INFO com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
"2022-03-04 20:41:24,487 INFO com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
"2022-03-04 20:41:24,500 INFO org.hibernate.dialect.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
"2022-03-04 20:41:24,933 INFO org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
"2022-03-04 20:41:24,937 INFO org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
"2022-03-04 20:41:25,594 INFO org.springframework.boot.web.embedded.netty.NettyWebServer [main] Netty started on port 9081
"2022-03-04 20:41:25,696 INFO org.springframework.boot.StartupInfoLogger [main] Started UbackendApplication in 2.396 seconds (JVM running for 2.979)
"2022-03-04 20:42:19,059 INFO org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [SpringApplicationShutdownHook] Closing JPA EntityManagerFactory for persistence unit 'default'
"2022-03-04 20:42:19,061 INFO com.zaxxer.hikari.HikariDataSource [SpringApplicationShutdownHook] HikariPool-1 - Shutdown initiated...
"2022-03-04 20:42:19,065 INFO com.zaxxer.hikari.HikariDataSource [SpringApplicationShutdownHook] HikariPool-1 - Shutdown completed.
"2022-03-04 20:42:26,353 INFO org.hibernate.validator.internal.util.Version [background-preinit] HV000001: Hibernate Validator 6.2.0.Final
"2022-03-04 20:42:26,354 INFO org.springframework.boot.StartupInfoLogger [main] Starting UbackendApplication using Java 11.0.11 on DESKTOP-4GGFN2F with PID 33420 (C:\Users\Usernow\Desktop\SpringBootSimplesPasos\Uback-Test\target\classes started by Usernow in C:\Users\Usernow\Desktop\SpringBootSimplesPasos\Uback-Test)
"2022-03-04 20:42:26,356 INFO org.springframework.boot.SpringApplication [main] No active profile set, falling back to default profiles: default
"2022-03-04 20:42:26,858 INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
"2022-03-04 20:42:26,902 INFO org.springframework.data.repository.config.RepositoryConfigurationDelegate [main] Finished Spring Data repository scanning in 39 ms. Found 4 JPA repository interfaces.
"2022-03-04 20:42:27,167 INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat initialized with port(s): 9081 (http)
"2022-03-04 20:42:27,172 INFO org.apache.juli.logging.DirectJDKLog [main] Initializing ProtocolHandler ["http-nio-9081"]
"2022-03-04 20:42:27,173 INFO org.apache.juli.logging.DirectJDKLog [main] Starting service [Tomcat]
"2022-03-04 20:42:27,173 INFO org.apache.juli.logging.DirectJDKLog [main] Starting Servlet engine: [Apache Tomcat/9.0.55]
"2022-03-04 20:42:27,236 INFO org.apache.juli.logging.DirectJDKLog [main] Initializing Spring embedded WebApplicationContext
"2022-03-04 20:42:27,236 INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [main] Root WebApplicationContext: initialization completed in 857 ms
"2022-03-04 20:42:27,298 INFO org.hibernate.jpa.internal.util.LogHelper [main] HHH000204: Processing PersistenceUnitInfo [name: default]
"2022-03-04 20:42:27,319 INFO org.hibernate.Version [main] HHH000412: Hibernate ORM core version 5.6.1.Final
"2022-03-04 20:42:27,380 INFO org.hibernate.annotations.common.reflection.java.JavaReflectionManager [main] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
"2022-03-04 20:42:27,441 INFO com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Starting...
"2022-03-04 20:42:27,529 INFO com.zaxxer.hikari.HikariDataSource [main] HikariPool-1 - Start completed.
"2022-03-04 20:42:27,539 INFO org.hibernate.dialect.Dialect [main] HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
"2022-03-04 20:42:27,982 INFO org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [main] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
"2022-03-04 20:42:27,987 INFO org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [main] Initialized JPA EntityManagerFactory for persistence unit 'default'
"2022-03-04 20:42:28,337 WARN org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [main] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
"2022-03-04 20:42:28,513 INFO org.apache.juli.logging.DirectJDKLog [main] Starting ProtocolHandler ["http-nio-9081"]
"2022-03-04 20:42:28,525 INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer [main] Tomcat started on port(s): 9081 (http) with context path '/api/v1/universidad'
"2022-03-04 20:42:28,679 INFO org.springframework.boot.StartupInfoLogger [main] Started UbackendApplication in 2.52 seconds (JVM running for 3.039)
"2022-03-04 20:42:31,446 INFO org.apache.juli.logging.DirectJDKLog [http-nio-9081-exec-1] Initializing Spring DispatcherServlet 'dispatcherServlet'
"2022-03-04 20:42:31,446 INFO org.springframework.web.servlet.FrameworkServlet [http-nio-9081-exec-1] Initializing Servlet 'dispatcherServlet'
"2022-03-04 20:42:31,447 INFO org.springframework.web.servlet.FrameworkServlet [http-nio-9081-exec-1] Completed initialization in 0 ms
"2022-03-04 20:42:51,841 INFO org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [SpringApplicationShutdownHook] Closing JPA EntityManagerFactory for persistence unit 'default'
"
